season,uuid,date_key,round_no,round_label,round_wind_index,round_kyoku_index,honba,riichi_sticks,seat,player,discard_no_in_round,player_discard_no_in_round,tile,normalized_tile,is_red_five,is_tsumogiri,is_riichi_declaration,dora_indicators,round_start_score
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,3,1,1z,1z,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,6,2,2z,2z,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,9,3,7s,7s,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,12,4,2p,2p,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,15,5,7s,7s,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,18,6,8s,8s,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,21,7,7s,7s,0,0,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,24,8,9m,9m,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,27,9,7z,7z,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,30,10,2z,2z,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,33,11,6z,6z,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,36,12,4s,4s,0,0,1,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,39,13,1s,1s,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,42,14,4p,4p,0,1,0,8s,35000
1,260406-157f80e3-d8e0-47ab-9c50-4187708ce284,260406,1,東1局,0,0,0,0,2,葡萄海ぶどう,45,15,2s,2s,0,1,0,8s,35000
