season,uuid,date_key,round_no,round_label,round_wind_index,round_kyoku_index,honba,riichi_sticks,seat,player,discard_no_in_round,player_discard_no_in_round,tile,normalized_tile,is_red_five,is_tsumogiri,is_riichi_declaration,dora_indicators,round_start_score
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,1,1,9m,9m,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,4,2,1z,1z,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,7,3,1p,1p,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,10,4,5p,5p,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,13,5,3p,3p,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,16,6,2z,2z,0,1,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,19,7,1s,1s,0,0,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,22,8,1p,1p,0,1,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,25,9,4p,4p,0,1,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,1,東1局,0,0,0,0,0,流れ者金融,28,10,7z,7z,0,1,0,6p,35000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,1,1,9m,9m,0,1,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,4,2,3z,3z,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,7,3,5z,5z,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,9,4,6z,6z,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,12,5,1z,1z,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,14,6,4p,4p,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,17,7,6p,6p,0,0,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,2,東1局,0,0,1,0,0,流れ者金融,20,8,3s,3s,0,1,0,9p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,3,1,1p,1p,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,6,2,5z,5z,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,8,3,9s,9s,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,11,4,3z,3z,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,14,5,3z,3z,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,17,6,1p,1p,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,20,7,9s,9s,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,23,8,3s,3s,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,26,9,2s,2s,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,28,10,8p,8p,0,0,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,31,11,7p,7p,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,34,12,4p,4p,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,3,東2局,0,1,0,0,0,流れ者金融,37,13,1z,1z,0,1,0,8p,47000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,2,1,9s,9s,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,5,2,3z,3z,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,8,3,1m,1m,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,11,4,1z,1z,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,14,5,7z,7z,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,4,東3局,0,2,0,0,0,流れ者金融,17,6,8s,8s,0,0,0,4s,45000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,2,1,1m,1m,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,5,2,1m,1m,0,1,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,8,3,6z,6z,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,11,4,7p,7p,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,14,5,2s,2s,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,17,6,6z,6z,0,1,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,20,7,1p,1p,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,23,8,4p,4p,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,25,9,3s,3s,0,0,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,5,東3局,0,2,1,0,0,流れ者金融,28,10,9m,9m,0,1,0,6s,39200
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,1,1,4s,4s,0,0,0,6s,31000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,4,2,4p,4p,0,0,0,6s,31000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,7,3,9s,9s,0,0,0,6s,31000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,10,4,2p,2p,0,0,0,6s,31000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,13,5,7p,7p,0,0,0,6s,31000
1,260406-2a578585-a184-4e39-a776-ed35d841e7e8,260406,6,南1局,1,0,0,0,0,流れ者金融,16,6,1m,1m,0,0,0,6s,31000
