season,team,player
1,チーム肉吸い,29ちゃん
1,チーム肉吸い,ひなんじょ
1,対ありでした,アリスkey
1,対ありでした,鯛ofカルピス
1,職業不詳,流れ者金融
1,職業不詳,葡萄海ぶどう
2,アオリイカ,流れ者金融
2,アオリイカ,葡萄海ぶどう
2,対ありでした,アリスkey
2,対ありでした,鯛ofカルピス
2,肉吸い,29ちゃん
2,肉吸い,ひなんじょ
3,アオリイカ再び,流れ者金融
3,アオリイカ再び,葡萄海ぶどう
3,チームひどい,ひなんじょ
3,チームひどい,鯛ofカルピス
3,新政のヒノトリ,29ちゃん
3,新政のヒノトリ,アリスkey
4,ぶどんじょ,ひなんじょ
4,ぶどんじょ,葡萄海ぶどう
4,肉鯛労働,29ちゃん
4,肉鯛労働,鯛ofカルピス
4,金商法,アリスkey
4,金商法,流れ者金融
5,スパイ大作戦,29ちゃん
5,スパイ大作戦,葡萄海ぶどう
5,チーム宇宙刑事,ひなんじょ
5,チーム宇宙刑事,アリスkey
5,ポンチ,流れ者金融
5,ポンチ,鯛ofカルピス
6,ぶどんじょ,ひなんじょ
6,ぶどんじょ,葡萄海ぶどう
6,対アリ,アリスkey
6,対アリ,鯛ofカルピス
6,食肉,29ちゃん
6,食肉,流れ者金融
7,ひな肉マン001,29ちゃん
7,ひな肉マン001,ひなんじょ
7,アオリイカ004,流れ者金融
7,アオリイカ004,葡萄海ぶどう
7,対あり003,アリスkey
7,対あり003,鯛ofカルピス
9,チーム肉吸い,29ちゃん
9,チーム肉吸い,ひなんじょ
9,対ありでした,アリスkey
9,対ありでした,鯛ofカルピス
9,職業不詳,流れ者金融
9,職業不詳,葡萄海ぶどう
